Name,Type,Level,Race,Attribute,ATK,DEF,Collected
Superheavy Samurai Thief,Effect Monster,10,Machine,EARTH,1000,1000,FALSE
Constellar Zubeneschamali,Effect Monster,5,Machine,LIGHT,2100,1400,TRUE
Solo the Melodious Songstress,Effect Monster,4,Fairy,LIGHT,1600,1000,FALSE
Shore Knight,Effect Monster,4,Warrior,WATER,1400,1200,TRUE
Common Soul,Spell Card,,Continuous,,,,FALSE
The Tricky,Effect Monster,5,Spellcaster,WIND,2000,1200,TRUE
Blackwing - Zephyros the Elite,Effect Monster,4,Winged Beast,DARK,1600,1000,FALSE
Infernoid Onuncu,Effect Monster,10,Fiend,FIRE,3000,3000,TRUE
Risebell the Star Psycher,Effect Monster,4,Psychic,WIND,1500,1500,FALSE
Shuffle Reborn,Spell Card,,Normal,,,,TRUE
Spellbook Magician of Prophecy,Effect Monster,2,Spellcaster,WATER,500,400,FALSE
Jellyfish,Normal Monster,4,Aqua,WATER,1200,1500,TRUE
Rescue Cat,Effect Monster,4,Beast,EARTH,300,100,FALSE
"Gaia, the Polar Knight",Effect Monster,4,Warrior,DARK,1600,1200,TRUE
Typhoon,Trap Card,,Normal,,,,FALSE
Red Sprinter,Effect Monster,4,Fiend,FIRE,1700,1200,TRUE
Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200,FALSE
Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200,TRUE
Oafdragon Magician,Pendulum Effect Monster,6,Spellcaster,WIND,2100,1400,FALSE
Worm Erokin,Effect Monster,6,Reptile,LIGHT,2400,1200,TRUE
Debris Dragon,Tuner Monster,4,Dragon,WIND,1000,2000,FALSE
Garoozis,Normal Monster,5,Beast-Warrior,FIRE,1800,1500,TRUE
Mist Valley Baby Roc,Tuner Monster,2,Winged Beast,WIND,400,600,FALSE
"Simorgh, Bird of Divinity",Effect Monster,7,Winged Beast,WIND,2700,1000,TRUE
Andro Sphinx,Effect Monster,10,Beast,LIGHT,3000,2500,FALSE
Stone Ogre Grotto,Normal Monster,5,Rock,EARTH,1600,1500,TRUE
Mystical Elf,Normal Monster,4,Spellcaster,LIGHT,800,2000,FALSE
HTS Psyhemuth,Synchro Monster,6,Psychic,EARTH,2400,1800,TRUE
The Blazing Mars,Effect Monster,8,Pyro,FIRE,2600,2200,FALSE
Hurricail,Normal Monster,2,Spellcaster,WIND,900,200,TRUE
Violet Crystal,Spell Card,,Equip,,,,FALSE
House of Adhesive Tape,Trap Card,,Normal,,,,TRUE
Whirlwind Prodigy,Effect Monster,4,Fairy,WIND,1500,1600,FALSE
Self-Mummification,Spell Card,,Quick-Play,,,,TRUE
Dragonpulse Magician,Pendulum Normal Monster,4,Spellcaster,EARTH,1800,900,FALSE
White Magical Hat,Effect Monster,3,Spellcaster,LIGHT,1000,700,TRUE
Archfiend Mirror,Normal Monster,2,Fiend,DARK,700,600,FALSE
Destruction Sword Flash,Trap Card,,Normal,,,,TRUE
Laval Forest Sprite,Tuner Monster,2,Pyro,FIRE,300,200,FALSE
Silent Swordsman,Effect Monster,4,Warrior,LIGHT,1000,1000,TRUE
Earthbound Immortal Uru,Effect Monster,10,Insect,DARK,3000,3000,FALSE
Empress Judge,Fusion Monster,6,Warrior,EARTH,2100,1700,TRUE
Mist Bird Clausolas,Synchro Monster,3,Winged Beast,WIND,0,2300,FALSE
Pop-Up,Spell Card,,Quick-Play,,,,TRUE
Toon World,Spell Card,,Continuous,,,,FALSE
Toon World,Spell Card,,Continuous,,,,TRUE
Toon Goblin Attack Force,Toon Monster,4,Warrior,EARTH,2300,0,FALSE
Nordic Relic Gungnir,Trap Card,,Normal,,,,TRUE
Destiny Mirage,Trap Card,,Normal,,,,FALSE
Ryu-Kishin,Normal Monster,3,Fiend,DARK,1000,500,TRUE
Creature Seizure,Spell Card,,Normal,,,,FALSE
Unknown Synchron,Tuner Monster,1,Machine,DARK,0,0,TRUE
Infernity Reflector,Trap Card,,Normal,,,,FALSE
B.E.S. Covered Core,Effect Monster,7,Machine,EARTH,2500,800,TRUE
Mecha Phantom Beast Sabre Hawk,Effect Monster,4,Machine,WIND,2100,100,FALSE
Dandylion,Effect Monster,3,Plant,EARTH,300,300,TRUE
Fluff Token,Token,,Plant,,,,FALSE
Fluff Token,Token,,Plant,,,,TRUE
Gokibore,Normal Monster,4,Insect,EARTH,1200,1400,FALSE
Berserker Soul,Spell Card,,Quick-Play,,,,TRUE
Swarm of Scarabs,Effect Monster,3,Insect,DARK,500,1000,FALSE
Tanngrisnir of the Nordic Beasts,Effect Monster,3,Beast,EARTH,1200,800,TRUE
Nordic Beast Token,Token,,Beast,,,,FALSE
Kagemusha of the Blue Flame,Normal Monster,2,Warrior,EARTH,800,400,TRUE
Performapal Sword Fish,Effect Monster,2,Fish,WATER,600,600,FALSE
Starship Spy Plane,Effect Monster,4,Machine,WIND,1100,500,TRUE
Berserker Crush,Spell Card,,Quick-Play,,,,FALSE
Alien Dog,Effect Monster,3,Reptile,LIGHT,1500,1000,TRUE
Armored Lizard,Normal Monster,4,Reptile,EARTH,1500,1200,FALSE
Superheavy Samurai Prepped Defense,Effect Monster,3,Machine,EARTH,100,2100,TRUE
Gamma The Electromagnet Warrior,Effect Monster,3,Rock,EARTH,800,2000,FALSE
Sectarian of Secrets,Normal Monster,2,Spellcaster,DARK,700,500,TRUE
Thunder Kid,Normal Monster,2,Thunder,WIND,700,600,FALSE
Morphtronic Smartfon,Tuner Monster,1,Machine,EARTH,100,100,TRUE
Granmarg the Mega Monarch,Effect Monster,8,Rock,EARTH,2800,1000,FALSE
Half or Nothing,Trap Card,,Normal,,,,TRUE
Hi-Speed Re-Level,Spell Card,,Normal,,,,FALSE
Gauntlet Launcher,XYZ Monster,6,Warrior,EARTH,2400,2800,TRUE
D.D. Jet Iron,Effect Monster,10,Machine,LIGHT,4000,0,FALSE
Resonator Engine,Spell Card,,Normal,,,,TRUE
Echo Oscillation,Trap Card,,Continuous,,,,FALSE
Disciple of the Forbidden Spell,Effect Monster,4,Warrior,LIGHT,1700,800,TRUE
Genex Solar,Effect Monster,7,Machine,LIGHT,2500,1500,FALSE
Shock Surprise,Spell Card,,Normal,,,,TRUE
Vijam the Cubic Seed,Effect Monster,1,Fiend,DARK,0,0,FALSE
Battle Waltz,Spell Card,,Normal,,,,TRUE
Waltz Token,Token,,Warrior,,,,FALSE
Skull Knight 2,Effect Monster,3,Fiend,DARK,1000,1200,TRUE
Worm Barses,Effect Monster,3,Reptile,LIGHT,1400,1500,FALSE
"Latinum, Exarch of Dark World",Effect Monster,6,Fiend,DARK,1500,2400,TRUE
Evil Blast,Trap Card,,Normal,,,,FALSE
The Light - Hex-Sealed Fusion,Effect Monster,3,Rock,LIGHT,1000,1600,TRUE
Soul Tiger,Normal Monster,4,Beast,EARTH,0,2100,FALSE
Knight Day Grepher,Gemini Monster,4,Warrior,LIGHT,1700,1600,TRUE
Mind Crush,Trap Card,,Normal,,,,FALSE
Monsturtle,Normal Monster,3,Aqua,WATER,800,1000,TRUE
Synchro Fusionist,Effect Monster,2,Spellcaster,DARK,800,600,FALSE
Divine Wind of Mist Valley,Spell Card,,Field,,,,TRUE
Spiritualism,Spell Card,,Normal,,,,FALSE
Constellar Aldebaran,Effect Monster,3,Beast-Warrior,LIGHT,1300,800,TRUE
Snowman Creator,Effect Monster,4,Machine,WATER,1600,1000,FALSE
Ultimate Tyranno,Effect Monster,8,Dinosaur,EARTH,3000,2200,TRUE
Mechquipped Angineer,XYZ Monster,3,Fairy,LIGHT,1800,1000,FALSE
Storm Caller,Effect Monster,6,Psychic,WIND,2300,2000,TRUE
Pandora's Jewelry Box,Pendulum Effect Monster,4,Wyrm,DARK,1500,1500,FALSE
Shield Worm,Effect Monster,4,Insect,EARTH,800,2000,TRUE
Chronomaly Crystal Bones,Effect Monster,3,Rock,LIGHT,1300,400,FALSE
Amazoness Queen,Effect Monster,6,Warrior,EARTH,2400,1800,TRUE
Mirage Dragon,Effect Monster,4,Dragon,LIGHT,1600,600,FALSE
Performapal Secondonkey,Effect Monster,4,Beast,EARTH,1000,2000,TRUE
Carboneddon,Effect Monster,3,Dinosaur,EARTH,800,600,FALSE
Reptilianne Servant,Effect Monster,1,Reptile,DARK,100,100,TRUE
Canon the Melodious Diva,Effect Monster,4,Fairy,LIGHT,1400,2000,FALSE
Flower Cardian Pine with Crane,Effect Monster,1,Warrior,DARK,2000,2000,TRUE
Assault Blackwing - Raikiri the Rain Shower,Synchro Monster,7,Winged Beast,DARK,2600,2000,FALSE
Rise of the Snake Deity,Trap Card,,Normal,,,,TRUE
Jurrac Herra,Effect Monster,6,Dinosaur,FIRE,2300,1500,FALSE
Pair Cycroid,Fusion Monster,5,Machine,EARTH,1600,1200,TRUE
Agido,Effect Monster,4,Fairy,EARTH,1500,1300,FALSE
Bujingi Ibis,Effect Monster,4,Winged Beast,LIGHT,1600,300,TRUE
Tyrant Red Dragon Archfiend,Synchro Monster,10,Dragon,DARK,3500,3000,FALSE
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,7,Dragon,DARK,2500,2000,TRUE
Odd-Eyes Pendulum Dragon,Pendulum Effect Monster,7,Dragon,DARK,2500,2000,FALSE
Master Gig,Effect Monster,8,Psychic,EARTH,2600,1400,TRUE
Dark Rebellion Xyz Dragon,XYZ Monster,4,Dragon,DARK,2500,2000,FALSE
Dark Rebellion Xyz Dragon,XYZ Monster,4,Dragon,DARK,2500,2000,TRUE
Cloudian - Turbulence,Effect Monster,4,Fairy,WATER,800,0,FALSE
Sasuke Samurai,Effect Monster,2,Warrior,WIND,500,800,TRUE
Night Assailant,Flip Effect Monster,3,Fiend,DARK,200,500,FALSE
Inspection,Spell Card,,Continuous,,,,TRUE
Gale Dogra,Effect Monster,2,Insect,EARTH,650,600,FALSE
Chrysalis Larva,Effect Monster,2,Insect,FIRE,300,300,TRUE
Armored Rat,Normal Monster,3,Beast,EARTH,950,1100,FALSE
The Grand Jupiter,Effect Monster,8,Warrior,DARK,2500,2000,TRUE
Beckoning Light,Trap Card,,Normal,,,,FALSE
Zolga,Effect Monster,4,Fairy,EARTH,1700,1200,TRUE
Armor Ninjitsu Art of Alchemy,Spell Card,,Normal,,,,FALSE
Dragon's Bind,Trap Card,,Continuous,,,,TRUE
Ghostrick Stein,Effect Monster,3,Zombie,DARK,1600,0,FALSE
Elemental HERO Gaia,Fusion Monster,6,Warrior,EARTH,2200,2600,TRUE
Solemn Authority,Trap Card,,Continuous,,,,FALSE
Drooling Lizard,Normal Monster,3,Reptile,EARTH,900,800,TRUE
Yellow Duston,Effect Monster,1,Fiend,EARTH,0,1000,FALSE
Moonlit Papillon,Effect Monster,4,Insect,LIGHT,1200,1600,TRUE
Toon Masked Sorcerer,Toon Monster,4,Spellcaster,DARK,900,1400,FALSE
Kuribandit,Effect Monster,3,Fiend,DARK,1000,700,TRUE
The Reliable Guardian,Spell Card,,Quick-Play,,,,FALSE
Dragged Down into the Grave,Spell Card,,Normal,,,,TRUE
Flint Missile,Spell Card,,Quick-Play,,,,FALSE
Teva,Effect Monster,5,Warrior,LIGHT,2000,1500,TRUE
Lesser Fiend,Effect Monster,5,Fiend,DARK,2100,1000,FALSE
Evolsaur Pelta,Effect Monster,4,Dinosaur,FIRE,1100,2000,TRUE
Odd-Eyes Advent,Spell Card,,Ritual,,,,FALSE
Bracchio-raidus,Fusion Monster,6,Dinosaur,WATER,2200,2000,TRUE
Royal Keeper,Effect Monster,4,Zombie,EARTH,1600,1700,FALSE
Blackwing - Boreas the Sharp,Effect Monster,5,Winged Beast,DARK,1300,900,TRUE
Naturia Leodrake,Synchro Monster,9,Beast,EARTH,3000,1800,FALSE
Inzektor Sword - Zektkaliber,Spell Card,,Equip,,,,TRUE
Freed the Brave Wanderer,Effect Monster,4,Warrior,LIGHT,1700,1200,FALSE
Neo Bug,Normal Monster,4,Insect,EARTH,1800,1700,TRUE
Swift Gaia the Fierce Knight,Effect Monster,7,Warrior,DARK,2300,2100,FALSE
Contact,Spell Card,,Normal,,,,TRUE
Performapal Rain Goat,Effect Monster,1,Beast,WATER,0,0,FALSE
Dark Sanctuary,Spell Card,,Field,,,,TRUE
D.D. Sprite,Tuner Monster,1,Fairy,LIGHT,0,100,FALSE
Spirit Force,Trap Card,,Normal,,,,TRUE
Psi-Curse,Trap Card,,Normal,,,,FALSE
Odd-Eyes Absolute Dragon,XYZ Monster,7,Dragon,WATER,2800,2500,TRUE
Gishki Avance,Effect Monster,4,Spellcaster,WATER,1500,800,FALSE
Karakuri Gold Dust,Spell Card,,Quick-Play,,,,TRUE
Subterror Nemesis Warrior,Effect Monster,4,Warrior,EARTH,1800,1200,FALSE
Bright Star Dragon,Effect Monster,4,Dragon,LIGHT,1900,1000,TRUE
Speedroid Red-Eyed Dice,Tuner Monster,1,Machine,WIND,100,100,FALSE
Warm Worm,Effect Monster,3,Insect,FIRE,600,1400,TRUE
Aromaseraphy Angelica,Tuner Monster,1,Plant,LIGHT,0,0,FALSE
Gravekeeper's Servant,Spell Card,,Continuous,,,,TRUE
Big Eye,Flip Effect Monster,4,Fiend,DARK,1200,1000,FALSE
Flower Cardian Paulownia with Phoenix,Effect Monster,12,Warrior,DARK,2000,2000,TRUE
Eccentric Boy,Tuner Monster,3,Spellcaster,WIND,800,200,FALSE
Genex Spare,Tuner Monster,3,Machine,DARK,800,1200,TRUE
Final Geas,Trap Card,,Normal,,,,FALSE
Reptilianne Vaskii,Effect Monster,8,Reptile,DARK,2600,0,TRUE
Aratama,Spirit Monster,4,Fiend,DARK,800,1800,FALSE
Flying Fortress SKY FIRE,Effect Monster,8,Machine,WIND,3000,2500,TRUE
Beautiful Headhuntress,Normal Monster,4,Warrior,EARTH,1600,800,FALSE
Constellar Alrescha,Effect Monster,6,Warrior,LIGHT,2200,1200,TRUE
Reptilianne Scylla,Effect Monster,4,Reptile,DARK,1800,1200,FALSE
Wind-Up Hunter,Effect Monster,3,Beast-Warrior,DARK,1600,500,TRUE
Naturia Vein,Tuner Monster,1,Plant,EARTH,200,300,FALSE
Mecha Phantom Beast Aerosguin,Effect Monster,3,Machine,WIND,1600,400,TRUE
Synthetic Seraphim,Trap Card,,Continuous,,,,FALSE
Synthetic Seraphim Token,Token,,Fairy,,,,TRUE
Speedroid Menko,Effect Monster,4,Machine,WIND,100,2000,FALSE
Chiron the Mage,Effect Monster,4,Beast-Warrior,EARTH,1800,1000,TRUE
Dracocension,Spell Card,,Continuous,,,,FALSE
Call of the Grave,Trap Card,,Normal,,,,TRUE
Doma The Angel of Silence,Normal Monster,5,Fairy,DARK,1600,1400,FALSE
Blazewing Butterfly,Gemini Monster,4,Insect,FIRE,1500,1500,TRUE
Performage Trapeze Magician,XYZ Monster,4,Spellcaster,LIGHT,2500,2000,FALSE
Mother Spider,Effect Monster,6,Insect,DARK,2300,1200,TRUE
Elemental HERO Chaos Neos,Fusion Monster,9,Warrior,DARK,3000,2500,FALSE
Evolsaur Diplo,Effect Monster,4,Dinosaur,FIRE,1600,800,TRUE
Guarded Treasure,Spell Card,,Continuous,,,,FALSE
Wall of Revealing Light,Trap Card,,Continuous,,,,TRUE
Xiangsheng Magician,Pendulum Effect Monster,4,Spellcaster,LIGHT,500,1500,FALSE
Ancient Telescope,Spell Card,,Normal,,,,TRUE
Yormungarde,Normal Monster,3,Reptile,EARTH,1200,900,FALSE
Constellar Leonis,Effect Monster,3,Beast,LIGHT,1000,1800,TRUE
Destiny HERO - Dogma,Effect Monster,8,Warrior,DARK,3400,2400,FALSE
Flower Cardian Zebra Grass,Effect Monster,8,Warrior,DARK,100,100,TRUE
Life Equalizer,Trap Card,,Normal,,,,FALSE
Yang Zing Path,Spell Card,,Normal,,,,TRUE
Inferno Hammer,Effect Monster,6,Fiend,DARK,2400,0,FALSE
Phantom Bounzer,Effect Monster,6,Warrior,DARK,2400,1200,TRUE
Snake Rain,Spell Card,,Normal,,,,FALSE
Molten Behemoth,Normal Monster,5,Pyro,FIRE,1000,2200,TRUE
Fusion Conscription,Spell Card,,Normal,,,,FALSE
Hammer Shark,Effect Monster,4,Fish,WATER,1700,1500,TRUE
Maiden of the Aqua,Effect Monster,4,Aqua,WATER,700,2000,FALSE
Flash Fusion,Spell Card,,Quick-Play,,,,TRUE
Wretched Ghost of the Attic,Normal Monster,2,Fiend,DARK,550,400,FALSE
Gishki Natalia,Spirit Monster,4,Spellcaster,WATER,1800,900,TRUE
Ground Spider,Effect Monster,4,Insect,EARTH,0,1500,FALSE
Zombie Master,Effect Monster,4,Zombie,DARK,1800,0,TRUE
U.A. Rival Rebounder,Effect Monster,6,Warrior,EARTH,2200,2300,FALSE
Herald of Orange Light,Tuner Monster,2,Fairy,LIGHT,300,500,TRUE
Naturia Mosquito,Effect Monster,1,Insect,EARTH,200,300,FALSE
Helios Trice Megistus,Effect Monster,8,Pyro,LIGHT,0,0,TRUE
Brain Golem,Effect Monster,6,Fiend,DARK,2500,1800,FALSE
Speedroid Horse Stilts,Effect Monster,4,Machine,WIND,1100,1100,TRUE
Performapal Monkeyboard,Pendulum Effect Monster,6,Beast,EARTH,1000,2400,FALSE
Lady of Faith,Normal Monster,3,Spellcaster,LIGHT,1100,800,TRUE
Chrysalis Chicky,Effect Monster,2,Winged Beast,WIND,600,400,FALSE
Confiscation,Spell Card,,Normal,,,,TRUE
Blackwing - Gram the Shining Star,Synchro Monster,5,Winged Beast,DARK,2200,1500,FALSE
Flash Knight,Pendulum Normal Monster,4,Warrior,LIGHT,1800,600,TRUE
Gravekeeper's Commandant,Effect Monster,4,Spellcaster,EARTH,1600,1500,FALSE
Elder Entity Norden,Fusion Monster,4,Fairy,WATER,2000,2200,TRUE
Volcanic Slicer,Effect Monster,4,Pyro,FIRE,1800,1200,FALSE
Photon Sanctuary,Spell Card,,Normal,,,,TRUE
Photon Token,Token,,Thunder,,,,FALSE
Turtle Raccoon,Normal Monster,3,Aqua,WATER,700,900,TRUE
Kaiser Sea Horse,Effect Monster,4,Sea Serpent,LIGHT,1700,1650,FALSE
Nobleman of Extermination,Spell Card,,Normal,,,,TRUE
Brotherhood of the Fire Fist - Hawk,Effect Monster,3,Beast-Warrior,FIRE,200,1500,FALSE
Exchange of the Spirit,Trap Card,,Normal,,,,TRUE
Alien Brain,Trap Card,,Normal,,,,FALSE
Gagagabolt,Spell Card,,Normal,,,,TRUE
Infernity General,Effect Monster,7,Fiend,DARK,2700,1500,FALSE
Wood Clown,Normal Monster,3,Warrior,EARTH,800,1200,TRUE
Zero Force,Trap Card,,Normal,,,,FALSE
Cuben,Effect Monster,4,Thunder,LIGHT,600,1900,TRUE
Armored Starfish,Normal Monster,4,Aqua,WATER,850,1400,FALSE
Heraldry Change,Trap Card,,Normal,,,,TRUE
Performapal Dag Daggerman,Pendulum Effect Monster,5,Warrior,EARTH,2000,600,FALSE
Jurrac Meteor,Synchro Monster,10,Dinosaur,FIRE,2800,2000,TRUE
Deep Diver,Effect Monster,3,Aqua,WATER,1000,1100,FALSE
"Alector, Sovereign of Birds",Effect Monster,6,Winged Beast,WIND,2400,2000,TRUE
Sword of Dark Rites,Spell Card,,Equip,,,,FALSE
Byser Shock,Effect Monster,5,Fiend,DARK,800,600,TRUE
Pumprincess the Princess of Ghosts,Effect Monster,3,Zombie,DARK,900,1000,FALSE
Supply Squad,Spell Card,,Continuous,,,,TRUE
Saqlifice,Spell Card,,Equip,,,,FALSE
Double Shark,Effect Monster,4,Fish,WATER,1200,1600,TRUE
Worm Rakuyeh,Effect Monster,4,Reptile,LIGHT,2100,1200,FALSE
Fairy's Hand Mirror,Trap Card,,Normal,,,,TRUE
Burst Stream of Destruction,Spell Card,,Normal,,,,FALSE
Luster Dragon 2,Normal Monster,6,Dragon,WIND,2400,1400,TRUE
Ancient Gear Wyvern,Effect Monster,4,Machine,EARTH,1700,1200,FALSE
Fossil Tusker,Effect Monster,4,Rock,EARTH,1800,0,TRUE
Witch of the Black Rose,Tuner Monster,4,Spellcaster,DARK,1700,1200,FALSE
Neo-Spacian Glow Moss,Effect Monster,3,Plant,LIGHT,300,900,TRUE
Wood Remains,Normal Monster,3,Zombie,DARK,1000,900,FALSE
Genex Ally Triarm,Synchro Monster,6,Machine,DARK,2400,1600,TRUE
Dimension Sphinx,Trap Card,,Continuous,,,,FALSE
Cloudian - Acid Cloud,Effect Monster,4,Fairy,WATER,500,0,TRUE
Reinforcements,Trap Card,,Normal,,,,FALSE
Needle Soldier,Effect Monster,1,Machine,EARTH,100,100,TRUE
Magnet Force,Trap Card,,Normal,,,,FALSE
Performapal Cheermole,Pendulum Effect Monster,2,Beast,EARTH,600,1000,TRUE
Meteor Dragon Red-Eyes Impact,Gemini Monster,6,Dragon,DARK,1800,2000,FALSE
Seal of Wickedness,Trap Card,,Continuous,,,,TRUE
Darkfire Dragon,Fusion Monster,4,Dragon,DARK,1500,1250,FALSE
Arcane Barrier,Spell Card,,Continuous,,,,TRUE
Sonic Warrior,Effect Monster,2,Warrior,WIND,1000,0,FALSE
Jurrac Dino,Tuner Monster,3,Dinosaur,FIRE,1700,800,TRUE
Neo-Spacian Aqua Dolphin,Effect Monster,3,Warrior,WATER,600,800,FALSE
Amazon of the Seas,Normal Monster,4,Fish,WATER,1300,1400,TRUE
Lord of D.,Effect Monster,4,Spellcaster,DARK,1200,1100,FALSE
Assault Blackwing - Sayo the Rain Hider,Synchro Monster,2,Winged Beast,DARK,800,100,TRUE
Nitro Warrior,Synchro Monster,7,Warrior,FIRE,2800,1800,FALSE
Hippo Carnival,Spell Card,,Quick-Play,,,,TRUE
Airknight Parshath,Effect Monster,5,Fairy,LIGHT,1900,1400,FALSE
Dragunity Primus Pilus,Effect Monster,5,Winged Beast,WIND,2200,1600,TRUE
Tin Goldfish,Effect Monster,4,Machine,WATER,800,2000,FALSE
Gemini Booster,Trap Card,,Normal,,,,TRUE
Mystery Shell Dragon,Normal Monster,4,Wyrm,DARK,2000,0,FALSE
Summon Breaker,Spell Card,,Field,,,,TRUE
Harpie's Feather Duster,Spell Card,,Normal,,,,FALSE
Harpie's Feather Duster,Spell Card,,Normal,,,,TRUE
Natural Disaster,Trap Card,,Continuous,,,,FALSE
Mystic Plasma Zone,Spell Card,,Field,,,,TRUE
Guardian Dreadscythe,Effect Monster,8,Fiend,DARK,2500,2000,FALSE
The Thing That Hides in the Mud,Normal Monster,4,Rock,EARTH,1200,1300,TRUE
Micro Ray,Trap Card,,Normal,,,,FALSE
Satellarknight Skybridge,Spell Card,,Quick-Play,,,,TRUE
Escalation of the Monarchs,Trap Card,,Continuous,,,,FALSE
Silent Strider,Effect Monster,2,Insect,EARTH,300,700,TRUE
"Ignister Prominence, the Blasting Dracoslayer",Synchro Monster,8,Dragon,FIRE,2850,0,FALSE
Battle Steer,Normal Monster,5,Beast-Warrior,EARTH,1800,1300,TRUE
Secret Blast,Trap Card,,Normal,,,,FALSE
Chthonian Blast,Trap Card,,Normal,,,,TRUE
The Fabled Ganashia,Effect Monster,3,Beast,LIGHT,1600,1000,FALSE
Reverse of Neos,Spell Card,,Quick-Play,,,,TRUE
Abyss Soldier,Effect Monster,4,Aqua,WATER,1800,1300,FALSE
Big Whale,Effect Monster,9,Fish,WATER,1000,3000,TRUE
Gyroid,Effect Monster,3,Machine,WIND,1000,1000,FALSE
Tellarknight Ptolemaeus,XYZ Monster,4,Warrior,LIGHT,550,2600,TRUE
Razor Lizard,Effect Monster,3,Reptile,EARTH,1500,300,FALSE
Archlord Zerato,Effect Monster,8,Fairy,LIGHT,2800,2300,TRUE
"Dante, Pilgrim of the Burning Abyss",Fusion Monster,9,Fairy,LIGHT,2800,2500,FALSE
Wattbetta,Tuner Monster,2,Thunder,LIGHT,100,0,TRUE
Noble Knight Joan,Effect Monster,4,Warrior,LIGHT,1900,1300,FALSE
Winged Rhynos,Effect Monster,4,Beast-Warrior,WIND,1800,500,TRUE
Tatakawa Knight,Effect Monster,4,Warrior,EARTH,1500,0,FALSE
Gagagashield,Trap Card,,Normal,,,,TRUE
Warlock of the Ice Barrier,Effect Monster,3,Spellcaster,WATER,400,1000,FALSE
Ancient Gear Gadget,Effect Monster,4,Machine,EARTH,500,2000,TRUE
Cursed Fig,Effect Monster,1,Plant,WATER,200,200,FALSE
Fusion Recovery,Spell Card,,Normal,,,,TRUE
Evolzar Solda,XYZ Monster,6,Dragon,FIRE,2600,1000,FALSE
Core Blast,Trap Card,,Continuous,,,,TRUE
Silent Sword Slash,Spell Card,,Quick-Play,,,,FALSE
Goblin King,Effect Monster,1,Fiend,DARK,0,0,TRUE
Final Destiny,Spell Card,,Normal,,,,FALSE
Tornado Wall,Trap Card,,Continuous,,,,TRUE
Ma'at,Effect Monster,10,Fairy,LIGHT,0,0,FALSE
Red Screen,Trap Card,,Continuous,,,,TRUE
Criosphinx,Effect Monster,6,Rock,EARTH,1200,2400,FALSE
Goblin Circus,Spell Card,,Continuous,,,,TRUE
Garbage Ogre,Effect Monster,3,Fiend,DARK,800,1300,FALSE
The Furious Sea King,Normal Monster,3,Aqua,WATER,800,700,TRUE
Infernity Force,Trap Card,,Normal,,,,FALSE
Raremetalfoes Bismugear,Pendulum Effect Monster,1,Psychic,FIRE,0,0,TRUE
Infernity Archer,Effect Monster,6,Fiend,DARK,2000,1000,FALSE
Destruct Potion,Trap Card,,Normal,,,,TRUE
Magical Star Illusion,Spell Card,,Normal,,,,FALSE
Seed of Deception,Spell Card,,Quick-Play,,,,TRUE
White Elephant's Gift,Spell Card,,Normal,,,,FALSE
Dark Dragon Ritual,Spell Card,,Ritual,,,,TRUE
Spellbinding Circle,Trap Card,,Continuous,,,,FALSE
Magical Contract Door,Spell Card,,Normal,,,,TRUE
Infestation Wave,Trap Card,,Normal,,,,FALSE
Cranium Fish,Effect Monster,6,Fish,WATER,2400,1000,TRUE
Power Invader,Effect Monster,5,Fiend,DARK,2200,0,FALSE
ZW - Ultimate Shield,Effect Monster,4,Aqua,EARTH,0,2000,TRUE
Perfect Machine King,Effect Monster,8,Machine,EARTH,2700,1500,FALSE
System Down,Spell Card,,Normal,,,,TRUE
Change Slime,Normal Monster,1,Aqua,WATER,400,300,FALSE
Burning Spear,Spell Card,,Equip,,,,TRUE
Goblin Decoy Squad,Effect Monster,4,Warrior,DARK,1000,0,FALSE
Galaxy-Eyes Cipher Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2500,TRUE
Swift Scarecrow,Effect Monster,1,Machine,EARTH,0,0,FALSE
Amarylease,Effect Monster,1,Plant,EARTH,100,200,TRUE
Chemicritter Oxy Ox,Gemini Monster,2,Beast,WIND,0,2100,FALSE
Gash the Dust Lord,Effect Monster,4,Fiend,DARK,1000,1200,TRUE
Gem-Elephant,Effect Monster,3,Rock,EARTH,400,1900,FALSE
Hero Counterattack,Trap Card,,Normal,,,,TRUE
Lord of the Red,Ritual Effect Monster,8,Dragon,FIRE,2400,2100,FALSE
Beast Machine King Barbaros Ür,Effect Monster,8,Beast-Warrior,EARTH,3800,1200,TRUE
Gemini Summoner,Effect Monster,4,Spellcaster,WATER,1500,0,FALSE
"Chaofeng, Phantom of the Yang Zing",Synchro Monster,9,Wyrm,LIGHT,2800,2200,TRUE
Roaring Ocean Snake,Fusion Monster,6,Aqua,WATER,2100,1800,FALSE
Second Goblin,Union Effect Monster,1,Fiend,DARK,100,100,TRUE
Interceptomato,Effect Monster,2,Plant,EARTH,800,800,FALSE
Scrap Beast,Tuner Monster,4,Beast,EARTH,1600,1300,TRUE
Patrician of Darkness,Effect Monster,5,Zombie,DARK,2000,1400,FALSE
De-Spell,Spell Card,,Normal,,,,TRUE
Gem-Knight Obsidian,Effect Monster,3,Rock,EARTH,1500,1200,FALSE
Genex Neutron,Effect Monster,4,Machine,LIGHT,1800,1200,TRUE
